Date,close price
04-01-2015,19.5
05-01-2015,19
06-01-2015,19
12-01-2015,18.95
13-01-2015,18.92
14-01-2015,18.9
15-01-2015,18.9
18-01-2015,18.7
19-01-2015,18.71
20-01-2015,18.9
21-01-2015,18.9
22-01-2015,18.9
25-01-2015,18.9
26-01-2015,18.9
27-01-2015,18.9
28-01-2015,18.9
29-01-2015,18.8
01-02-2015,20
02-02-2015,19.4
03-02-2015,19
04-02-2015,18.8
05-02-2015,18.5
08-02-2015,18.05
09-02-2015,17.85
10-02-2015,18.5
11-02-2015,18
12-02-2015,18
15-02-2015,17.99
16-02-2015,17.9
17-02-2015,18
18-02-2015,18
22-02-2015,17.8
23-02-2015,18
24-02-2015,18
25-02-2015,18
26-02-2015,17.95
01-03-2015,17.8
02-03-2015,17.77
03-03-2015,17.8
04-03-2015,17.5
05-03-2015,17.47
08-03-2015,17.4
09-03-2015,16.54
10-03-2015,16.85
11-03-2015,16.89
12-03-2015,16.7
15-03-2015,16.35
16-03-2015,16.35
17-03-2015,16.21
18-03-2015,16.1
19-03-2015,16.2
22-03-2015,16.1
23-03-2015,16
24-03-2015,15.92
25-03-2015,16
26-03-2015,15.85
29-03-2015,16.01
30-03-2015,16.01
31-03-2015,16.01
01-04-2015,16.01
02-04-2015,16.01
05-04-2015,16.01
06-04-2015,15.98
07-04-2015,15.9
08-04-2015,16
09-04-2015,15.75
12-04-2015,15.5
13-04-2015,15.89
14-04-2015,15.9
15-04-2015,16.45
16-04-2015,16.88
19-04-2015,16.88
20-04-2015,17.05
21-04-2015,17.37
22-04-2015,16.49
23-04-2015,16.49
26-04-2015,15.8
27-04-2015,15.5
28-04-2015,15.59
29-04-2015,15.8
03-05-2015,16.98
04-05-2015,16.6
05-05-2015,16.67
06-05-2015,16.93
07-05-2015,16.7
10-05-2015,16.65
11-05-2015,16.54
12-05-2015,17
13-05-2015,17.48
14-05-2015,18.79
17-05-2015,19
18-05-2015,19.5
19-05-2015,20.96
20-05-2015,21.94
21-05-2015,21.34
24-05-2015,21
26-05-2015,20.5
27-05-2015,20.78
28-05-2015,20.6
31-05-2015,20.75
01-06-2015,21.5
02-06-2015,22.3
03-06-2015,22.4
04-06-2015,22.05
07-06-2015,22.2
08-06-2015,21.8
09-06-2015,21.8
10-06-2015,20.89
11-06-2015,20.5
14-06-2015,20.48
15-06-2015,20.48
16-06-2015,21.35
17-06-2015,21.45
18-06-2015,21.4
21-06-2015,21.3
22-06-2015,21.3
23-06-2015,21.51
24-06-2015,21.55
25-06-2015,21.7
28-06-2015,21.6
29-06-2015,21.75
30-06-2015,21.5
01-07-2015,21.45
02-07-2015,21.48
05-07-2015,21.1
06-07-2015,21.05
07-07-2015,21
08-07-2015,21.15
09-07-2015,21.01
12-07-2015,21.6
13-07-2015,21.6
14-07-2015,21.6
15-07-2015,21.06
16-07-2015,21.35
21-07-2015,21.4
22-07-2015,21.7
23-07-2015,22.35
26-07-2015,22.6
27-07-2015,22.7
28-07-2015,23.5
29-07-2015,23.5
30-07-2015,23.45
02-08-2015,23.65
03-08-2015,23.22
04-08-2015,23.25
05-08-2015,23.3
06-08-2015,23.25
09-08-2015,22.86
10-08-2015,22.86
11-08-2015,22.5
12-08-2015,22.8
13-08-2015,23.19
16-08-2015,23.1
17-08-2015,23.09
18-08-2015,23.24
19-08-2015,23.25
20-08-2015,23.49
23-08-2015,23.49
24-08-2015,23.49
25-08-2015,23
26-08-2015,23
27-08-2015,23
30-08-2015,23
31-08-2015,23
01-09-2015,23
02-09-2015,23
03-09-2015,22.99
06-09-2015,22.9
07-09-2015,22.7
08-09-2015,22.53
09-09-2015,22.51
10-09-2015,22.2
13-09-2015,22.2
14-09-2015,22
15-09-2015,21.69
16-09-2015,22.4
17-09-2015,22.47
20-09-2015,22
21-09-2015,22
22-09-2015,21.95
28-09-2015,21.95
29-09-2015,21.9
30-09-2015,21.32
01-10-2015,21.85
04-10-2015,21.93
05-10-2015,21.93
06-10-2015,21.86
07-10-2015,21.86
08-10-2015,21.86
11-10-2015,21.86
12-10-2015,21.86
13-10-2015,21.5
14-10-2015,21.07
18-10-2015,21.7
19-10-2015,21.95
20-10-2015,21.9
21-10-2015,21.9
22-10-2015,21.84
25-10-2015,21.8
26-10-2015,21.8
27-10-2015,21.49
28-10-2015,21.49
29-10-2015,21.48
01-11-2015,21.49
02-11-2015,21.75
03-11-2015,21.88
04-11-2015,21.4
05-11-2015,21.88
08-11-2015,21.88
09-11-2015,21.94
10-11-2015,21.94
11-11-2015,21.3
12-11-2015,21.3
15-11-2015,21.3
16-11-2015,21.29
17-11-2015,21.15
18-11-2015,20.97
19-11-2015,20.97
22-11-2015,20.97
23-11-2015,20.97
24-11-2015,20.7
25-11-2015,20.1
26-11-2015,20.6
29-11-2015,20.6
01-12-2015,20.85
02-12-2015,20.72
03-12-2015,20.8
06-12-2015,20.88
07-12-2015,21
08-12-2015,21
09-12-15,21
10-12-2015,21
13-12-2015,21
14-12-2015,20.98
15-12-2015,20.98
16-12-2015,20.45
17-12-2015,20.45
20-12-2015,20.9
21-12-2015,20.9
22-12-2015,20.25
23-12-2015,20.89
27-12-2015,20.85
28-12-2015,20.9
29-12-2015,20.92
30-12-2015,21
31-12-2015,21
3-1-2016,21.3
4-1-2016,21.3
5-1-2016,21.3
6-1-2016,20.89
7-1-2016,20.89
10-1-2016,20.85
11-1-2016,20.7
12-1-2016,20.83
13-1-2016,20.82
14-1-2016,20.99
17-1-2016,20.93
18-1-2016,20.8
19-1-2016,20.8
20-1-2016,20.55
21-1-2016,20.45
24-1-2016,20.75
25-1-2016,20.15
26-1-2016,19.8
27-1-2016,19.7
28-1-2016,20
31-1-2016,19.79
01-02-2016,19.41
02-02-2016,19.02
03-02-2016,18.9
04-02-2016,18
07-02-2016,18
08-02-2016,18
09-02-2016,18
10-02-2016,18.6
11-02-2016,18.7
14-02-2016,18.94
15-02-2016,19.86
16-02-2016,19.99
17-02-2016,19.65
18-02-2016,19.3
21-02-2016,19.7
22-02-2016,19.69
23-02-2016,19.1
24-02-2016,19.1
25-02-2016,19.2
28-02-2016,19.3
29-02-2016,19.3
01-03-2016,19.25
02-03-2016,19
03-03-2016,18.71
06-03-2016,18.5
07-03-2016,18.5
08-03-2016,18.6
09-03-2016,18.5
10-03-2016,18.46
13-03-2016,18.5
14-03-2016,18.65
15-03-2016,19.1
16-03-2016,19
17-03-2016,19
20-03-2016,19.05
21-03-2016,19
22-03-2016,19
23-03-2016,19
24-03-2016,19
27-03-2016,18.89
28-03-2016,18.55
29-03-2016,18.6
30-03-2016,18.55
31-03-2016,19
03-04-2016,19.49
04-04-2016,19
05-04-2016,19
06-04-2016,18.85
07-04-2016,18.95
10-04-2016,19.01
11-04-2016,19.09
12-04-2016,19
13-04-2016,19.1
14-04-2016,19
17-04-2016,19.1
18-04-2016,19.17
19-04-2016,19.1
20-04-2016,18.95
21-04-2016,18.95
24-04-2016,17.95
25-04-2016,17.77
26-04-2016,17.15
27-04-2016,17.34
28-04-2016,17.24
02-05-2016,17.5
03-05-2016,17.49
04-05-2016,17.49
05-05-2016,17.4
08-05-2016,17.25
09-05-2016,17.2
10-05-2016,17.2
11-05-2016,17.1
12-05-2016,16.99
15-05-2016,17
16-05-2016,17
17-05-2016,17
18-05-2016,16.81
19-05-2016,16.99
22-05-2016,16.95
23-05-2016,16.95
24-05-2016,17
26-05-2016,17
29-05-2016,17
30-05-2016,17
31-05-2016,17
01-06-2016,17
05-06-2016,17
06-06-2016,17
07-06-2016,17.4
08-06-2016,17.05
09-06-2016,17.1
12-06-2016,17.5
13-06-2016,17.84
14-06-2016,17.8
15-06-2016,17.5
16-06-2016,17.84
19-06-2016,17.6
20-06-2016,17.5
21-06-2016,17.7
22-06-2016,17.3
23-06-2016,17.4
26-06-2016,17
27-06-2016,17.35
28-06-2016,17.35
29-06-2016,17.78
30-06-2016,17.15
03-07-2016,17
04-07-2016,16.95
10-07-2016,17
11-07-2016,17
12-07-2016,17
13-07-2016,16.8
14-07-2016,17
17-07-2016,16.75
18-07-2016,16.76
19-07-2016,16.85
20-07-2016,16.93
21-07-2016,16.93
24-07-2016,16.7
